"GeoID_Description","GeoID_Name","SitsinState","GeoID","GeoID_Formatted","phs","TimeFrame","GeoVintage","Source","Location"
"Census Tract","06067005101","CA","06067005101","=""06067005101""","25.80","2018-2022","2022","Census","Sacramento (County, 2022)"
"Census Tract","06067005102","CA","06067005102","=""06067005102""","28.93","2018-2022","2022","Census","Sacramento (County, 2022)"
"Census Tract","06067005201","CA","06067005201","=""06067005201""","11.33","2018-2022","2022","Census","Sacramento (County, 2022)"
"Census Tract","06067005202","CA","06067005202","=""06067005202""","9.91","2018-2022","2022","Census","Sacramento (County, 2022)"
"Census Tract","06067005204","CA","06067005204","=""06067005204""","13.96","2018-2022","2022","Census","Sacramento (County, 2022)"
"Census Tract","06067005205","CA","06067005205","=""06067005205""","25.60","2018-2022","2022","Census","Sacramento (County, 2022)"
"Census Tract","06067005301","CA","06067005301","=""06067005301""","17.94","2018-2022","2022","Census","Sacramento (County, 2022)"
"Census Tract","06067005402","CA","06067005402","=""06067005402""","17.51","2018-2022","2022","Census","Sacramento (County, 2022)"
"Census Tract","06067005403","CA","06067005403","=""06067005403""","6.64","2018-2022","2022","Census","Sacramento (County, 2022)"
"Census Tract","06067005404","CA","06067005404","=""06067005404""","9.60","2018-2022","2022","Census","Sacramento (County, 2022)"
"Census Tract","06067005502","CA","06067005502","=""06067005502""","30.25","2018-2022","2022","Census","Sacramento (County, 2022)"
"Census Tract","06067005505","CA","06067005505","=""06067005505""","17.00","2018-2022","2022","Census","Sacramento (County, 2022)"
"Census Tract","06067005506","CA","06067005506","=""06067005506""","29.86","2018-2022","2022","Census","Sacramento (County, 2022)"
"Census Tract","06067005508","CA","06067005508","=""06067005508""","16.41","2018-2022","2022","Census","Sacramento (County, 2022)"
"Census Tract","06067005509","CA","06067005509","=""06067005509""","27.46","2018-2022","2022","Census","Sacramento (County, 2022)"
"Census Tract","06067005510","CA","06067005510","=""06067005510""","19.73","2018-2022","2022","Census","Sacramento (County, 2022)"
"Census Tract","06067005601","CA","06067005601","=""06067005601""","26.80","2018-2022","2022","Census","Sacramento (County, 2022)"
"Census Tract","06067005605","CA","06067005605","=""06067005605""","23.87","2018-2022","2022","Census","Sacramento (County, 2022)"
"Census Tract","06067005606","CA","06067005606","=""06067005606""","18.40","2018-2022","2022","Census","Sacramento (County, 2022)"
"Census Tract","06067005701","CA","06067005701","=""06067005701""","15.76","2018-2022","2022","Census","Sacramento (County, 2022)"
"Census Tract","06067005702","CA","06067005702","=""06067005702""","7.87","2018-2022","2022","Census","Sacramento (County, 2022)"
"Census Tract","06067005801","CA","06067005801","=""06067005801""","17.38","2018-2022","2022","Census","Sacramento (County, 2022)"
"Census Tract","06067005803","CA","06067005803","=""06067005803""","13.68","2018-2022","2022","Census","Sacramento (County, 2022)"
"Census Tract","06067005804","CA","06067005804","=""06067005804""","5.89","2018-2022","2022","Census","Sacramento (County, 2022)"
"Census Tract","06067005901","CA","06067005901","=""06067005901""","18.86","2018-2022","2022","Census","Sacramento (County, 2022)"
"Census Tract","06067005903","CA","06067005903","=""06067005903""","32.94","2018-2022","2022","Census","Sacramento (County, 2022)"
"Census Tract","06067005904","CA","06067005904","=""06067005904""","21.42","2018-2022","2022","Census","Sacramento (County, 2022)"
"Census Tract","06067006002","CA","06067006002","=""06067006002""","22.08","2018-2022","2022","Census","Sacramento (County, 2022)"
"Census Tract","06067006003","CA","06067006003","=""06067006003""","23.26","2018-2022","2022","Census","Sacramento (County, 2022)"
"Census Tract","06067006004","CA","06067006004","=""06067006004""","21.83","2018-2022","2022","Census","Sacramento (County, 2022)"
"Census Tract","06067006101","CA","06067006101","=""06067006101""","23.20","2018-2022","2022","Census","Sacramento (County, 2022)"
"Census Tract","06067006102","CA","06067006102","=""06067006102""","23.58","2018-2022","2022","Census","Sacramento (County, 2022)"
"Census Tract","06067006202","CA","06067006202","=""06067006202""","33.84","2018-2022","2022","Census","Sacramento (County, 2022)"
"Census Tract","06067006203","CA","06067006203","=""06067006203""","34.97","2018-2022","2022","Census","Sacramento (County, 2022)"
"Census Tract","06067006204","CA","06067006204","=""06067006204""","24.65","2018-2022","2022","Census","Sacramento (County, 2022)"
"Census Tract","06067006300","CA","06067006300","=""06067006300""","24.18","2018-2022","2022","Census","Sacramento (County, 2022)"
"Census Tract","06067006400","CA","06067006400","=""06067006400""","33.22","2018-2022","2022","Census","Sacramento (County, 2022)"
"Census Tract","06067006501","CA","06067006501","=""06067006501""","33.79","2018-2022","2022","Census","Sacramento (County, 2022)"
"Census Tract","06067006502","CA","06067006502","=""06067006502""","20.10","2018-2022","2022","Census","Sacramento (County, 2022)"
"Census Tract","06067006600","CA","06067006600","=""06067006600""","33.38","2018-2022","2022","Census","Sacramento (County, 2022)"
"Census Tract","06067006703","CA","06067006703","=""06067006703""","27.52","2018-2022","2022","Census","Sacramento (County, 2022)"
"Census Tract","06067006704","CA","06067006704","=""06067006704""","29.72","2018-2022","2022","Census","Sacramento (County, 2022)"
