"GeoID_Description","GeoID_Name","SitsinState","GeoID","GeoID_Formatted","p_crd_ghlth","TimeFrame","GeoVintage","Source","Location"
"Census Tract","06067006702","CA","06067006702","=""06067006702""","26.4","2021","2010","CDC_PLACES","Sacramento (County, 2022)"
"Census Tract","06067006800","CA","06067006800","=""06067006800""","28.8","2021","2010","CDC_PLACES","Sacramento (County, 2022)"
"Census Tract","06067006900","CA","06067006900","=""06067006900""","25.0","2021","2010","CDC_PLACES","Sacramento (County, 2022)"
"Census Tract","06067007001","CA","06067007001","=""06067007001""","24.6","2021","2010","CDC_PLACES","Sacramento (County, 2022)"
"Census Tract","06067007004","CA","06067007004","=""06067007004""","19.5","2021","2010","CDC_PLACES","Sacramento (County, 2022)"
"Census Tract","06067007007","CA","06067007007","=""06067007007""","21.7","2021","2010","CDC_PLACES","Sacramento (County, 2022)"
"Census Tract","06067007010","CA","06067007010","=""06067007010""","10.9","2021","2010","CDC_PLACES","Sacramento (County, 2022)"
"Census Tract","06067007011","CA","06067007011","=""06067007011""","14.1","2021","2010","CDC_PLACES","Sacramento (County, 2022)"
"Census Tract","06067007012","CA","06067007012","=""06067007012""","16.9","2021","2010","CDC_PLACES","Sacramento (County, 2022)"
"Census Tract","06067007013","CA","06067007013","=""06067007013""","16.7","2021","2010","CDC_PLACES","Sacramento (County, 2022)"
"Census Tract","06067007014","CA","06067007014","=""06067007014""","18.9","2021","2010","CDC_PLACES","Sacramento (County, 2022)"
"Census Tract","06067007015","CA","06067007015","=""06067007015""","12.9","2021","2010","CDC_PLACES","Sacramento (County, 2022)"
"Census Tract","06067007016","CA","06067007016","=""06067007016""","14.7","2021","2010","CDC_PLACES","Sacramento (County, 2022)"
"Census Tract","06067007017","CA","06067007017","=""06067007017""","11.1","2021","2010","CDC_PLACES","Sacramento (County, 2022)"
"Census Tract","06067007018","CA","06067007018","=""06067007018""","11.6","2021","2010","CDC_PLACES","Sacramento (County, 2022)"
"Census Tract","06067007019","CA","06067007019","=""06067007019""","22.9","2021","2010","CDC_PLACES","Sacramento (County, 2022)"
"Census Tract","06067007020","CA","06067007020","=""06067007020""","11.4","2021","2010","CDC_PLACES","Sacramento (County, 2022)"
"Census Tract","06067007101","CA","06067007101","=""06067007101""","14.2","2021","2010","CDC_PLACES","Sacramento (County, 2022)"
"Census Tract","06067007102","CA","06067007102","=""06067007102""","12.2","2021","2010","CDC_PLACES","Sacramento (County, 2022)"
"Census Tract","06067007103","CA","06067007103","=""06067007103""","8.7","2021","2010","CDC_PLACES","Sacramento (County, 2022)"
"Census Tract","06067007104","CA","06067007104","=""06067007104""","9.8","2021","2010","CDC_PLACES","Sacramento (County, 2022)"
"Census Tract","06067007105","CA","06067007105","=""06067007105""","13.4","2021","2010","CDC_PLACES","Sacramento (County, 2022)"
"Census Tract","06067007106","CA","06067007106","=""06067007106""","11.3","2021","2010","CDC_PLACES","Sacramento (County, 2022)"
"Census Tract","06067007107","CA","06067007107","=""06067007107""","9.6","2021","2010","CDC_PLACES","Sacramento (County, 2022)"
"Census Tract","06067007202","CA","06067007202","=""06067007202""","20.3","2021","2010","CDC_PLACES","Sacramento (County, 2022)"
"Census Tract","06067007204","CA","06067007204","=""06067007204""","17.2","2021","2010","CDC_PLACES","Sacramento (County, 2022)"
"Census Tract","06067007206","CA","06067007206","=""06067007206""","16.9","2021","2010","CDC_PLACES","Sacramento (County, 2022)"
"Census Tract","06067007207","CA","06067007207","=""06067007207""","18.5","2021","2010","CDC_PLACES","Sacramento (County, 2022)"
"Census Tract","06067007208","CA","06067007208","=""06067007208""","16.8","2021","2010","CDC_PLACES","Sacramento (County, 2022)"
"Census Tract","06067007209","CA","06067007209","=""06067007209""","15.7","2021","2010","CDC_PLACES","Sacramento (County, 2022)"
"Census Tract","06067007301","CA","06067007301","=""06067007301""","24.1","2021","2010","CDC_PLACES","Sacramento (County, 2022)"
"Census Tract","06067007402","CA","06067007402","=""06067007402""","20.9","2021","2010","CDC_PLACES","Sacramento (County, 2022)"
"Census Tract","06067007403","CA","06067007403","=""06067007403""","20.7","2021","2010","CDC_PLACES","Sacramento (County, 2022)"
